ID;PSM1 Lev;PSM1 Jac;PSM1 Ove;PSM3 Lev;PSM3 Jac;PSM3 Ove;PSM6 Lev;PSM6 Jac;PSM6 Ove;PSM11 Lev;PSM11 Jac;PSM11 Ove;PSM12 Lev;PSM12 Jac;PSM12 Ove
n19;737;0.155;0.5849056603773585;737;0.155;0.5849056603773585;896;0.07723577235772358;0.3584905660377358;850;0.14553990610328638;0.5849056603773585;836;0.15196078431372548;0.5849056603773585
n20;2152;0.012738853503184714;0.11764705882352941;2152;0.012738853503184714;0.11764705882352941;2393;0.010810810810810811;0.11764705882352941;2481;0.0110803324099723;0.11764705882352941;2484;0.011142061281337047;0.11764705882352941
n21;180;0.0;0.0;180;0.0;0.0;162;0.0;0.0;169;0.0;0.0;167;0.0;0.0
n22;384;0.2549019607843137;0.7647058823529411;384;0.2549019607843137;0.7647058823529411;470;0.226890756302521;0.7941176470588235;470;0.23809523809523808;0.7352941176470589;423;0.25773195876288657;0.7352941176470589
n23;151;0.0;0.0;151;0.0;0.0;397;0.0;0.0;239;0.0;0.0;240;0.0;0.0
n24;423;0.0;0.0;423;0.0;0.0;460;0.0;0.0;429;0.0;0.0;428;0.0;0.0
n25;390;0.030612244897959183;0.06818181818181818;390;0.030612244897959183;0.06818181818181818;882;0.012461059190031152;0.07017543859649122;397;0.04032258064516129;0.08771929824561403;416;0.031746031746031744;0.07017543859649122
n26;418;0.2396694214876033;0.6444444444444445;418;0.2396694214876033;0.6444444444444445;516;0.1875;0.6;451;0.23770491803278687;0.6444444444444445;453;0.23770491803278687;0.6444444444444445
n27;723;0.2979591836734694;0.6403508771929824;723;0.2979591836734694;0.6403508771929824;804;0.27238805970149255;0.6403508771929824;739;0.2967479674796748;0.6403508771929824;734;0.2967479674796748;0.6403508771929824
n28;463;0.0;0.0;463;0.0;0.0;5243;0.0011661807580174927;0.03508771929824561;2769;0.00395778364116095;0.05263157894736842;3295;0.0022727272727272726;0.03508771929824561
n29;280;0.1956521739130435;0.4;280;0.1956521739130435;0.4;420;0.1366906474820144;0.4222222222222222;382;0.10084033613445378;0.26666666666666666;390;0.1016949152542373;0.26666666666666666
n30;271;0.1686746987951807;0.3111111111111111;271;0.1686746987951807;0.3111111111111111;589;0.08163265306122448;0.35555555555555557;537;0.08227848101265822;0.28888888888888886;515;0.08609271523178808;0.28888888888888886
